1765097702.794,epoch=0,rss=543834112,gc=(13, 0, 0),n_objs=306390,py_threads=1,proc_threads=12,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():900.1KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:711.6KiB
1765097705.306,epoch=10,rss=670842880,gc=(13, 0, 0),n_objs=306618,py_threads=1,proc_threads=12,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:716.2KiB
1765097707.738,epoch=20,rss=690601984,gc=(13, 0, 0),n_objs=306736,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:720.8KiB
1765097710.151,epoch=30,rss=702513152,gc=(13, 0, 0),n_objs=306860,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:725.5KiB
1765097712.504,epoch=40,rss=701038592,gc=(13, 0, 0),n_objs=306863,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:725.5KiB
1765097715.023,epoch=50,rss=646955008,gc=(13, 0, 0),n_objs=306980,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:730.1KiB
1765097717.379,epoch=60,rss=661438464,gc=(13, 0, 0),n_objs=307200,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:739.4KiB
1765097719.760,epoch=70,rss=611647488,gc=(13, 0, 0),n_objs=307200,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.7KiB;self._solidcapstyle = None:739.4KiB
1765097722.364,epoch=80,rss=612532224,gc=(13, 0, 0),n_objs=307214,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097724.826,epoch=90,rss=613285888,gc=(13, 0, 0),n_objs=307214,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097727.251,epoch=100,rss=603455488,gc=(13, 0, 0),n_objs=307225,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097730.017,epoch=110,rss=594624512,gc=(13, 0, 0),n_objs=307243,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097732.910,epoch=120,rss=606027776,gc=(13, 0, 0),n_objs=307254,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097735.289,epoch=130,rss=618348544,gc=(13, 0, 0),n_objs=307262,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097737.791,epoch=140,rss=620445696,gc=(13, 0, 0),n_objs=307268,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097740.387,epoch=150,rss=608518144,gc=(13, 0, 0),n_objs=307271,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097742.861,epoch=160,rss=611418112,gc=(13, 0, 0),n_objs=307279,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097745.322,epoch=170,rss=610746368,gc=(13, 0, 0),n_objs=307279,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097748.134,epoch=180,rss=610222080,gc=(13, 0, 0),n_objs=307279,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097750.610,epoch=190,rss=581173248,gc=(13, 0, 0),n_objs=307285,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097753.299,epoch=200,rss=585367552,gc=(13, 0, 0),n_objs=307288,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097755.850,epoch=210,rss=585580544,gc=(13, 0, 0),n_objs=307288,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097758.548,epoch=220,rss=573571072,gc=(13, 0, 0),n_objs=307288,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097761.002,epoch=230,rss=559087616,gc=(13, 0, 0),n_objs=307288,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097763.690,epoch=240,rss=565460992,gc=(13, 0, 0),n_objs=307288,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097766.349,epoch=250,rss=570245120,gc=(13, 0, 0),n_objs=307291,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097769.028,epoch=260,rss=571310080,gc=(13, 0, 0),n_objs=307299,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097771.584,epoch=270,rss=567345152,gc=(13, 0, 0),n_objs=307299,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097774.161,epoch=280,rss=568180736,gc=(13, 0, 0),n_objs=307299,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097776.564,epoch=290,rss=579092480,gc=(13, 0, 0),n_objs=307299,py_threads=1,proc_threads=11,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
